#{"t_start": 1763451131.075043, "env_id": null}
r,l,t
5926.163771,7142,3785.017598
3171.722589,7142,3803.511895
166.514179,7142,3822.448967
10049.233829,7142,3840.931191
1747.653809,7142,3859.724609
8076.780308,7142,3878.630838
8998.723427,7142,3897.146364
7236.962835,7142,3915.762964
2033.137859,7142,3934.225113
4984.791014,7142,3952.851488
1146.636925,7142,3971.652642
2171.6486,7142,3990.427151
8000.013583,7142,4009.055872
5605.129435,7142,4027.500982
7649.759334,7142,4046.976286
5825.265098,7142,4065.645565
8794.928915,7142,4084.318537
6728.06214,7142,4103.130496
6197.23986,7142,4121.467514
10845.136489,7142,4140.30701
10375.223326,7142,4158.636573
7808.14398,7142,4177.083814
8437.62565,7142,4195.363892
8507.168689,7142,4214.537798
9702.3287,7142,4233.542289
5466.103801,7142,4251.969048
8881.449342,7142,4270.568825
6694.08814,7142,4288.972798
5111.421908,7142,4307.52573
3739.353437,7142,4326.002454
7835.700551,7142,4344.763989
2328.926912,7142,4363.691798
10709.837306,7142,4382.110554
5193.947213,7142,4400.995346
1639.861377,7142,4419.484769
6344.378274,7142,4437.904106
4380.716981,7142,4456.55266
-698.638934,7142,4475.600182
10931.821302,7142,4494.136189
911.67904,7142,4512.890713
5378.071612,7142,4532.500969
4547.885917,7142,4551.138653
7827.475715,7142,4569.402591
8213.775753,7142,4587.835283
5686.031903,7142,4606.467217
2912.744232,7142,4624.880712
8146.069126,7142,4643.189838
11076.365348,7142,4661.46935
8441.834367,7142,4679.869526
5442.086722,7142,4698.140186
4248.69904,7142,4716.864931
1735.715539,7142,4735.459128
9968.698407,7142,4753.838243
6960.437176,7142,4772.1555
4850.584566,7142,4790.428111
1121.796509,7142,4809.149123
7902.257266,7142,4827.466998
5784.247785,7142,4845.859575
7637.127,7142,4864.458352
903.133176,7142,4883.201982
10823.950097,7142,4901.483139
5871.951606,7142,4919.752049
12798.932475,7142,4938.209394
6451.371186,7142,4956.518743
3769.577904,7142,4974.929568
12879.548897,7142,4993.172505
6042.255518,7142,5011.461519
5445.012832,7142,5029.815505
8476.633376,7142,5048.040455
10279.047584,7142,5066.451031
11640.023297,7142,5084.695808
12191.440153,7142,5103.050146
5657.767348,7142,5121.329043
4219.119413,7142,5139.909269
6420.29427,7142,5159.980223
7837.62314,7142,5178.429507
8321.192886,7142,5197.3293
6654.057993,7142,5216.083115
